Era	Name	Notes (Join the Discord if we missed anything)	Length	Release Date	Type	Streaming	Link(s)
Late Registration	Brandy - Talk About Our Love (Alan Smithee in Blueblackness Mix) (prod. Kanye West & Alan Smithee)	Remix of the song "Talk About Our Love" by Brandy without Kanye.	9:59	Jul 13, 2004	Production	No	https://pillows.su/f/2d2b7365fb176ac5589ae49e80ffe064
Late Registration	Brandy - Talk About Our Love (TKC Club Mix) (prod. Kanye West & TKC)	Remix of the song "Talk About Our Love" by Brandy without Kanye.	7:59	Jul 13, 2004	Production	No	https://pillows.su/f/262fbde130f11d83c68b1e89b4d15ff0
Late Registration	Brandy - Talk About Our Love (Ford House Mix) (prod. Kanye West & Ford House)	Remix of the song "Talk About Our Love" by Brandy without Kanye.	6:38	Jul 13, 2004	Production	No	https://pillows.su/f/48030bf131e12d944218578c594a9dbc
Late Registration	Brandy - Talk About Our Love (Bill Hamel Clubbed Up Dub Mix) (prod. Kanye West & Bill Hamel)	Remix of the song "Talk About Our Love" by Brandy without Kanye.	8:58	Jul 13, 2004	Production	No	https://pillows.su/f/c653d8462ca5042ceec785b99c9130b1
Late Registration	Brandy - Talk About Our Love (Thick Dick Dub) (prod. Kanye West & Thick Dick)	Remix of the song "Talk About Our Love" by Brandy without Kanye.	8:03	Jul 13, 2004	Production	No	https://pillows.su/f/929c67cabaa7f4bc9b8c52523e58dee4
Late Registration	Grafh - We Ridin' (feat. 88-Keys) (prod. Kanye West)	Track 17 from Grafh's 2004 The Oracle Mixtape. Grafh got the OG beat for "Takeover", added some production and got 88-Keys on the hook.	4:06	Jul 13, 2004	Production	No	https://www.youtube.com/watch?v=9XEKKjEEJks
Late Registration	Shyne - More Or Less [V2] (feat. Foxy Brown) (prod. Kanye West) (When I Die)	Updated version of "More Or Less" that extends the length of the song. Track 3 from Shyne's 2004 album Godfather Buried Alive.	4:37	Aug 1, 2004	Production	Yes	https://open.spotify.com/track/299Nx9X3N3cWuUHKdDlZQs
Late Registration	The New Workout Plan (feat. John Legend) (prod. Kanye West)	Clean single version of "The New Workout Plan" released as a single on August 31, 2004.	3:44	Aug 31, 2004	Single	Yes	Link Needed
Late Registration	213 - Another Summer (feat. LaToiya Williams) (prod. Kanye West)	Track 8 from 213's 2004 album The Hard Way. 213 is composed of Snoop Dogg, Nate Dogg, and Warren G. Written by Calvin Cordozar Broadus Jr., Warren Griffin III, Nathaniel Dwayne Hale, Garry Glenn, Kanye West, and Priest Brooks. Samples "Intimate Friends" by Eddie Kendricks.	4:05	Aug 31, 2004	Production	Yes	https://www.youtube.com/watch?v=jq1xLS5p_uo
Late Registration	Talib Kweli - I Try (feat. Mary J. Blige) (prod. Kanye West)	Track 6 from Talib Kweli's 2004 album The Beautiful Struggle. Also released as a single on October 5th, 2004. Written by John Legend, Mary J. Blige & Kanye West. Mixed by Steve Baughman. Engineered by Dave "Supa Star" Dar, Antony Zeller & Alan Mason.	4:25	Sep 28, 2004	Production	Yes	https://open.spotify.com/track/67KzM4JakJxpVAW8IlI2N0
Late Registration	Shawnna - What Can I Do (feat. Missy Elliot) (prod. Kanye West & AllDay)	Track 9 from Shawnna's 2004 album Worth tha Weight.	3:25	Sep 28, 2004	Production	Yes	https://open.spotify.com/track/2HaPmU9RB3UmlU6r3LezHb
Late Registration	The Game - Whole City Behind Us (feat. Kanye West & Ludacris)	Released with the Westside Story mixtape by The Game. Originally posted to DatPiff, but since has been removed from the mixtape, along with other songs.	3:24	Sep 28, 2004	Feature	No	https://youtu.be/34z9o8PeWx0
Late Registration	Mos Def - The Rape Over (prod. Kanye West)	Track 5 from Mos Def's 2004 album The New Danger. Mixed & engineered by Dylan Margerum. Samples the songs "Takeover (MTV Unplugged)" by JAY-Z & "Takeover" by JAY-Z. The clean version is available on streaming.	1:34	Oct 19, 2004	Production	No	https://youtu.be/QfqRipvk6WE
Late Registration	Mos Def - Sunshine (prod. Kanye West)	Track 9 from Mos Def's 2004 album The New Danger. Also released as a single in 2005. Mixed & engineered by Superstar Dave Dar. Samples the song "The Flesh Failures (Let the Sunshine In)" by Melba Moore.	4:25	Oct 19, 2004	Production	Yes	https://open.spotify.com/track/06pRRMDsx7mdfZQy10it40
Late Registration	Jin - I Got a Love (feat. Kanye West) (prod. Kanye West)	Track 7 from Jin's 2004 album The Rest Is History. Samples the song "'Cause I Love You" by Lenny Williams.	3:59	Oct 19, 2004	Feature	Yes	https://open.spotify.com/track/2HR5NMrW3OvWn8RbS1UfHH
Late Registration	USHER - Confessions Part II Remix (feat. Shyne, Twista & Kanye West) (prod. Jermaine Dupri & Bryan-Michael Cox)	Relased as a single on October 26th, 2004. Also track 21 from the expanded edition of USHER's 2004 album Confessions. Also track 4 from GLC's 2004 mixtape Hood Celebrity. Mixed by Phil Tan & John Horesco IV. Engineered by John Horesco IV, Brian Fyre & Tadd Mingo.	4:29	Oct 26, 2004	Feature	Yes	https://open.spotify.com/track/6xcz5MXwY36hItZg5PZj78
Late Registration	GLC - Hood Celebrity [Mixtape] (exec. prod. Kanye West)	GLC's 2004 mixtape Hood Celebrity. Executive produced by Kanye West. Hosted by DJ Envy, Floyd Mayweather and Dame Dash. Contains 22 tracks. Tracks 4,5 and 9 are currently lost.			Other	No	https://soundcloud.com/glctheism/sets/glc-hood-celebrity-hosted-by
Late Registration	GLC - Hurricanes (prod. Kanye West)	Track 15 from GLC's 2004 mixtape Hood Celebrity.	4:15		Production	No	https://soundcloud.com/glctheism/15-hurricanes?in=glctheism/sets/glc-hood-celebrity-hosted-by&si=ad9e36fa522f40528625d7f442467687&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Late Registration	GLC - Take Me Out (feat. Kanye West & Shayla G) (prod. Kanye West)	Track 20 from GLC's 2004 mixtape Hood Celebrity. Samples the song "Take Me Out to the Ball Game" by Edward Meeker.	3:30		Production	No	https://soundcloud.com/glctheism/20-take-me-out-2?in=glctheism/sets/glc-hood-celebrity-hosted-by&si=171f57f4c70a4de7ade13ebd8a605454&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Late Registration	Cam'ron - Down And Out (feat. Kanye West & Syleena Johnson) (prod. AllDay)	Track 7 from Cam'ron's 2004 album Purple Haze. Mixed & engineered by Carlisle Young.	4:08	Dec 7, 2004	Feature	Yes	https://open.spotify.com/track/5mEwhCsqadBZIE7SSrv1gC
Late Registration	Cam'ron - Dip-Set Forever (prod. Kanye West)	Track 23 from Cam'ron's 2004 album Purple Haze. Mixed & engineered by Eric "Ibo" Butler.	3:54	Dec 7, 2004	Production	Yes	https://open.spotify.com/track/5JfiDRHC5dVOyuN2u50vRA
Late Registration	JAY-Z & Linkin Park - Numb / Encore (feat. Kanye West) (prod. Mike Shinoda)	Mash-up of "Numb" by Linkin Park and "Encore" by JAY-Z. Released as a single on December 13th, 2004. Also track 4 from JAY-Z and Linkin Park's 2004 EP Collision Course.	3:25	Dec 13, 2004	Feature	Yes	https://open.spotify.com/track/7dyluIqv7QYVTXXZiMWPHW?si=1fb141ae4f3d4f62
Late Registration	Apathy - Can't Nobody (feat. Styles of Beyond) (prod. Kanye West) (Knick inna Optik, The Beginning)	Track 15 from Apathy's 2004 album Where's Your Album?!! Samples the song "Can't Nobody Love Me Like You Do" by The Masquerders. Reuses the beat from "Knick inna Optik" by Sentino and "The Beginning" by Gravy.	4:15	Dec 28, 2004	Production	Yes	https://open.spotify.com/track/6yAK2ZyIHxxfgAOuJzeURq?si=345b93dd1bc54bc2
Late Registration	John Legend - Get Lifted [Album] (exec. prod. Kanye West & John Legend)	John Legend's 2004 album Get Lifted. Executive produced by Kanye & John Legend. Contains 14 tracks.	52:28	Dec 28, 2004	Production	Yes	https://open.spotify.com/album/4W6kVnBPgcW8zDYXbRHh2J?si=WreBAmvXT3-UI-g8UfB-6Q
Late Registration	John Legend - Let's Get Lifted (feat. Candice Anderson & Tara Michel) (prod. Kanye West & John Legend)	Track 2 from John Legend's 2004 album Get Lifted. Features piano from John Legend. Features guitar & bass from Dave Tozer. Written by Rick Shobin. Mixed by Manny Marroquin & Jared Robbins. Engineered by Anthony Kilhoffer, Mike Eleopoulos &y Manganello, Michael Peters, Pablo Arraya & Val Brathwaite. Samples the song "What Good Is A Castle" by Joe Bataan.	3:37	Dec 28, 2004	Production	Yes	https://open.spotify.com/track/5m4rsr2D2uwMgOgORtpxSA
Late Registration	John Legend - Used to Love U [V2] (prod. Kanye West & John Legend) (I Used To Love You)	Updated version of "Used to Love You" that features more verses and updated intro. Track 3 from John Legend's 2004 album Get Lifted. Also released as a single on March 15th, 2005. Features strings from Miri Ben-Ari. Features piano from John Legend. Features horns from The Horn Dogs. Features trumpet from Printz Board. Features saxophone & flute from Tim Izo Orindgreff. Features guitar from George Pajon Jr.. Mixed by Manny Marroquin & Jared Robbins. Engineered by Anthony Kilhoffer, Mike Eleopoulos &y Manganello, Michael Peters, Pablo Arraya & Val Brathwaite.	3:30	Dec 28, 2004	Production	Yes	https://open.spotify.com/track/051NZ3rr3HXTULCEySJRX3
Late Registration	John Legend - Alright (feat. Candice Anderson & Tara Michel) (prod. Kanye West & John Legend)	Track 4 from John Legend's 2004 album Get Lifted. Features piano & organ from John Legend. Features trumpet from Jenee Dixon. Features saxophone from Corey Hogan. Features trombone from Karesha Crawford. Features tuba from Jose Barboza Jr. Written by Kanye West. Mixed by Manny Marroquin & Jared Robbins. Engineered by Anthony Kilhoffer, Mike Eleopoulos &y Manganello, Michael Peters, Pablo Arraya & Val Brathwaite.	3:20	Dec 28, 2004	Production	Yes	https://open.spotify.com/track/5vPVxHRFg8cUwRr8j7yqXf
Late Registration	John Legend - Number One (feat. Kanye West, Candice Anderson & Tara Michel) (prod. Kanye West & John Legend)	Track 6 from John Legend's 2004 album Get Lifted. Features piano from John Legend. Features guitar from Glenn S. Jeffrey. Written by Kanye West & Curtis Mayfield. Mixed by Manny Marroquin & Jared Robbins. Engineered by Anthony Kilhoffer, Mike Eleopoulos &y Manganello, Michael Peters, Pablo Arraya & Val Brathwaite. Samples the song "Let's Do It Again" by The Staple Singers.	3:18	Dec 28, 2004	Feature	Yes	https://open.spotify.com/track/3zQGmJ4k3JeqwAjfrEcwHp
Late Registration	John Legend - Live It Up [V2] (feat. Miri Ben-Ari & Tarrey Torae) (prod. Miri Ben-Ari, Kanye West, John Legend & Devo Springsteen)	Track 14 from John Legend's 2004 album Get Lifted. Features strings from Miri Ben-Ari. Features keyboards from John Legend. Features guitar & bass from Dave Tozer. Written by Devo Springsteen, Tarrey Torae & Tony Hester. Mixed by Manny Marroquin & Jared Robbins. Engineered by Anthony Kilhoffer & Andrew Dawson.	4:35	Dec 28, 2004	Production	Yes	https://open.spotify.com/track/4v7GPlf49Mki23eSh3XXwd
Late Registration	DJ Baby Yu - The Everything Kanye Mixtape [Mixtape]	Mixtape created by DJ Baby Yu sometime in 2004. Hosted by Kanye.	1:18:00		Other	No	https://www.podomatic.com/podcasts/babyyu/episodes/2012-10-22T12_18_55-07_00
Late Registration	Abstract Mindstate - Creepin (feat. Kanye West)	Track 4 from Abstract Mindstate's 2005 mixtape Chicago's Hardest Working Mixtape Vol.2 (Project Soul). Written by Greg Lewis & Daphne Mitchell.	3:55	Jan 1, 2005	Feature	Yes	https://open.spotify.com/track/3ZCS06UeqJ6zvLUIf07lbI?si=a3176ad10e374d6d
Late Registration	Teairra Marí - Make Her Feel Good (Remix) (feat. Kanye West) (prod. The Narcotics)	Remix of Roc Nation signee Teairra Mari's song "Make Her Feel Good", release as a single on January 1st, 2005. Date is inaccurate.	3:40	Jan 1, 2005	Feature	Yes	https://open.spotify.com/track/49rwtYeQm7e9eELv4kIO1j?si=25485c92b357454b
Late Registration	Taj Mahal - My Everything (feat. Unstoppable) (prod. Kanye West)	Track 21 from Purple City, Dipset & The Senate's January 2005 mixtape Triple Threat Three. 		Jan 1, 2005	Production	No	https://audiomack.com/illmixtapescom/song/my-everything-feat-unstoppable
Late Registration	Bump J - On The Run (feat. Rick James) (prod. Kanye West)	Kanye produced Bump J track "On The Run" featuring Rick James.	4:00	Jan 18, 2005	Production	No	https://pillows.su/f/9f4b7a5695d1ee2406a90008034487b0
Late Registration	The Game - Dreams (prod. Kanye West)	Track 3 from The Game's 2005 album The Documentary. Features bass from Keenan "KeeNote" Holloway. Features guitar from Glenn Jefferies. Features keyboards from Ervin Pope. Mixed by Dr. Dre & Mauricio "Veto" Iragorri. Engineered by Mauricio "Veto" Iragorri, Rouble Kapoor, Joe Warlick, Kent Huffnagle & Steve "Steve B." Baughman. Samples the song "No Money Down" by Jerry Butler. Interpolates the songs "N.Y. State of Mind" by Nas & "Just Playing (Dreams)" by The Notorious B.I.G..	4:46	Jan 18, 2005	Production	Yes	Link Needed
Late Registration	Abstract Mindstate - The Darkest Hour (Original Version) (prod. Kanye West)	Original Kanye produced version of Abstract Mindstate's song "The Darkest Hour", track to on the groups demo tape The M.O.D.	3:55	Jan 1, 2005	Production	No	https://abstractmindstate.bandcamp.com/album/abtract-mindstate-the-m-o-d-demo
Late Registration	Abstract Mindstate - Insanity (prod. Kanye West)	Track 9 on Abstract Mindstate's The M.O.D. demo tape, produced by kanye. Later released on the groups mixtape Chicago's Hardest Working Mixtape Vol​.​1	4:00	Jan 1, 2005	Production	Yes	https://open.spotify.com/track/3USxPtKqCSG4UaoXhEEL9M?si=3b1207e6966a415b https://abstractmindstate.bandcamp.com/track/insanity-2
Late Registration	Do or Die - Higher (feat. Kanye West) (prod. Kanye West)	Track 6 from Do or Die's 2005 album D.O.D.. Samples the song "You're My Latest, My Greatest Inspiration" by Teddy Pendergrass.	3:15	Feb 1, 2005	Feature	Yes	https://music.apple.com/us/song/higher/41864795
Late Registration	Do or Die - Paid the Price (feat. Kanye West) (prod. Kanye West) (Beat 3)	Track 10 from Do or Die's 2005 album D.O.D..	3:41	Feb 1, 2005	Feature	Yes	https://music.apple.com/us/album/paid-the-price/41864780?i=41864801
Late Registration	Do or Die - Higher (Remix) (feat. Kanye West & Shawnna) (prod. Kanye West)	Track 20 from Do or Die's 2005 album D.O.D.. Samples the song "You're My Latest, My Greatest Inspiration" by Teddy Pendergrass.	3:14	Feb 1, 2005	Feature	Yes	https://music.apple.com/us/album/higher-remix/41864780?i=41864819
Late Registration	DJ Battle - End Of An Era Words From Roc Members (Outro) (feat. Kanye West, Ol' Dirty Bastard, Joe Wales, Freeway, Rell, Samantha Ronson & Damon Dash)	Track 28 from DJ Battle's 2005 mixtape Tracklist Magazine Mixtape Roc a Fella Edition.	6:51	Feb 7, 2005	Feature	No	Link Needed
Late Registration	Chamillionaire - Call Some Hoes (feat. Kanye West & Stat Quo)	Track 47 from Chamillionaire's 2005 mixtape The Mixtape Messiah.	3:10	Feb 15, 2005	Feature	Yes	https://open.spotify.com/track/4D3Kbr1nAVDESXDBcKiUjO
Late Registration	Common - The Corner (feat. The Last Poets & Kanye West) (prod. Kanye West)	Single by Common released on March 1st, 2005. Also track 2 from Common's 2005 album Be. Mixed by Jared Robbins & Manny Marroquin. Engineered by Taylor Dow. Samples the song "You Make The Sunshine" by The Temprees.	3:45	Mar 1, 2005	Feature	Yes	https://open.spotify.com/track/31rk2z6XreitvUgfJURMil
Late Registration	Bump J - Move Around (feat. Kanye West) (prod. Kanye West)	Only single to be released from Bump J's scrapped debut album Nothing To Lose. Features vocals from Kanye at the beginning of the song. Mixed by Manny Marroquin. 	4:11	Mar 8, 2005	Production	Yes	https://open.spotify.com/track/1einVoYyqVh14seuses0cX?si=8bc4d013fd2d4c7d 
Late Registration	Kanye West: College Dropout - Video Anthology [Bonus CD]	CD released with The College Dropout Video Anthology DVD, not on any streaming services. Includes: 1. We Don't Care (Reprise) (feat. Keyshia Cole) 2. Jesus Walks (Remix) (feat. Mase, Common) 3. It's Alright (feat. Mase, John Legend) 4. The New Workout Plan (Remix) (feat. Fonzworth Bentley, Luke, Twista) (prod. Lil Jon) 5. Heavy Hitters (feat. GLC) 6. Two Words (Cinematic) (feat. The Boys Choir of Harlem) 7. Never Let Me Down (Cinematic)	25:08	Mar 22, 2005	Other	No	https://mega.nz/folder/DRRxUZJB#4NIxx7ljOePCk4kamasp0w/folder/mZoUHCSJ https://archive.org/details/kanyewestthecollegedropoutvideoanthology
Late Registration	We Don't Care (Reprise) (feat. Keyshia Cole)	Reprise of "We Don't Care". Track 1 from The College Dropout Video Anthology Bonus CD.	2:56	Mar 22, 2005	Album Track	No	https://pillows.su/f/aa22858da0dc5580e65ac56baf4f6faa
Late Registration	Jesus Walks (Remix) [V1] (feat. Mase, Common & John Legend) (prod. Kanye West)	Remix of "Jesus Walks". Track 2 from The College Dropout Video Anthology Bonus CD.	4:58	Mar 22, 2005	Album Track	No	https://pillows.su/f/9a32bc1747aa6c09ccb3d10f0af04384
Late Registration	It's Alright (feat. Mase & John Legend) (prod. Kanye West)	Track 3 from The College Dropout Video Anthology Bonus CD. Samples the song "If You Plays Your Cards Right" by Alicia Myers. Interpolates the song "Through The Wire" by Kanye West.	3:50	Mar 22, 2005	Album Track	No	https://pillows.su/f/6e17685ad1ee4478a4513b30911adec6
Late Registration	The New Workout Plan (Remix) (feat. Fonzworth Bentley, Luke & Twista) (prod. Lil Jon)	Remix of "The New Wokout Plan". Track 4 from The College Dropout Video Anthology Bonus CD.	4:02	Mar 22, 2005	Album Track	No	https://pillows.su/f/35b84914a103717da1c822e40f1211c5
Late Registration	Two Words (Cinematic) (feat. Mos Def & The Boys Choir of Harlem)	Track 6 from The College Dropout Video Anthology Bonus CD.	4:06	Mar 22, 2005	Album Track	No	https://pillows.su/f/fc5efb6dfa7a94f09b060969589c6836
Late Registration	Never Let Me Down (Cinematic) (feat. Tracie Spencer)	Track 7 from The College Dropout Video Anthology Bonus CD.	5:15	Mar 22, 2005	Album Track	No	https://pillows.su/f/065442b209e786ed8554965029863e0b
Late Registration	Mariah Carey - Stay The Night (prod. Mariah Carey & Kanye West)	Track 6 from Mariah Carey's 2005 album The Emancipation of Mimi. Written by K. West, L. Creed & T. Bell. Mixed by Manny Marroquin. Engineered by Dana Jon Chappelle, Jason Finkel, Manuel Farolfi, Michael Leedy & Riccardo Durante. Samples the songs "Doggone" by Love & "Betcha By Golly, Wow" by The Stylistics.	3:57	Apr 12, 2005	Production	Yes	https://open.spotify.com/track/1bPDYmkG189hkqf3iosrSI
Late Registration	Mistah F.A.B. - Big Time (prod. Kanye West)	Track 2 from Mistah F.A.B.'s 2005 album Son of a Pimp. Mixed by King Tech.	3:41	Apr 19, 2005	Production	Yes	https://open.spotify.com/track/34B7m0GxmImGeVWYBRnipi
Late Registration	Common - Be [Album] (exec. prod. Kanye West, Common & Derek Dudley)	Common's 2005 album Be. Executive produced by Kanye, Common & Derek Dudley. Contains 11 tracks.	42:33	May 24, 2005	Production	Yes	https://open.spotify.com/album/2UuvBxV56QWWj2uviGS0up?si=7o_BtxBPRmqVvGYDW9WbCg
Late Registration	Common - Be (Intro) (prod. Kanye West)	Track 1 from Common's 2005 album Be. Features acoustic bass from Derrick Hodge. Features keyboards from James Poyser. Mixed by Andrew Dawson. Engineered by Francis Forde & Taylor Dow. Samples the song "Mother Nature" by Albert Jones.	2:24	May 24, 2005	Production	Yes	https://open.spotify.com/track/11aFVmFy8903RwDx4ohQiq
Late Registration	Common - GO! (feat. Kanye West & John Mayer) (prod. Kanye West & DJ A-Trak)	Track 3 from Common's 2005 album Be. Also released as a single on June 21st, 2005. Features percussion from Num Amuntehu. Mixed by Jared Robbins & Manny Marroquin. Engineered by Francis Forde, Ric McRae & Taylor Dow. Interpolates the song "Shimmy Shimmy Ya" by Ol' Dirty Bastard.	3:44	May 24, 2005	Feature	Yes	https://open.spotify.com/track/4JNTpbntShpUpACDUzwHV5
Late Registration	Common - Faithful (feat. John Legend & Bilal) (prod. Kanye West)	Track 4 from Common's 2005 album Be. Also released as a single on October 8th, 2005. Features keyboards from James Poyser. Mixed by Jared Robbins & Manny Marroquin. Engineered by Francis Forde & Taylor Dow.	3:33	May 24, 2005	Production	Yes	https://open.spotify.com/track/13YyYNBofurxZCNYiFDibB
Late Registration	Common - Testify (prod. Kanye West)	Track 5 from Common's 2005 album Be. Also released as a single in 2005. Mixed by Jared Robbins & Manny Marroquin. Engineered by Ric McRae & Taylor Dow. Samples the song "Innocent 'Til Proven Guilty" by Honey Cone.	2:36	May 24, 2005	Production	Yes	https://open.spotify.com/track/6fo9uskjOIoWXAaUNxN7Bl
Late Registration	Common - Chi-City (feat. Kanye West) (prod. Kanye West, DJ A-Trak & DJ Dummy)	Track 7 from Common's 2005 album Be. Mixed by Jared Robbins & Manny Marroquin. Engineered by Steve Tolle, Jason Agel, Taylor Dow & Jared Zastrow.	3:27	May 24, 2005	Feature	Yes	https://open.spotify.com/track/53y0PxHoy72RaSPkehY4zb
Late Registration	Common - The Food (Live) (feat. Kanye West & Dave Chappelle) (prod. Kanye West & DJ Dummy)	Track 8 from Common's 2005 album Be. Mixed by Jared Robbins, Steve Tolle &rew Dawson & Manny Marroquin. Engineered by Charles Hunt. Samples "Guerilla Monsoon Rap" by Talib Kweli, also produced by Kanye West.	3:36	May 24, 2005	Feature	Yes	https://open.spotify.com/track/1Ke6bqdvdGJF1ftvuO8qtP
Late Registration	Common - The Food [Studio Version] (feat. Kanye West)	Vinyl exclusive. Studio recording vs. the Live @ Chappelle version that's on the album. Released on streaming via the 20th anniversary edition of the album.	4:19		Feature	Yes	https://open.spotify.com/track/21JOjeBDFQiDMrh7n2e8QS?si=32c3f0eae09547d5
Late Registration	Common - Real People (prod. Kanye West)	Track 9 from Common's 2005 album Be. Mixed by Jared Robbins & Manny Marroquin. Engineered by Ric McRae, Taylor Dow & Anthony Kilhoffer.	2:48	May 24, 2005	Production	Yes	https://open.spotify.com/track/4Gqh7XRuYd4TtFFqooSyrv
Late Registration	Common - They Say (feat. Kanye West & John Legend) (prod. Kanye West)	Track 10 from Common's 2005 album Be. Mixed by Jared Robbins & Manny Marroquin. Engineered by Ric McRae & Taylor Dow.	3:57	May 24, 2005	Feature	Yes	https://open.spotify.com/track/5GO4rpfnM2lghVqEulTJUf
Late Registration	Common - It's Your World (Part 1 & 2) (feat. Bilal) (prod. James Poyser, Karriem Riggins & J. Dilla)	Track 11 from Common's 2005 album Be. Features keyboards from Kanye West & James Poyser. Features strings from James Poyser. Features percussion & drums from Karriem Riggins. Mixed by Frank Hendler & Bob Power. Engineered by Taylor Dow & Dilla.	8:33	May 24, 2005	Other	Yes	https://open.spotify.com/track/6lXGIJbyM4YBjK6CzIce25
Late Registration	Young Gunz - Grown Man Pt. 2 (feat. Kanye West & John Legend) (prod. Kanye West)	Track 7 from Young Gunz's 2005 album Brothers From Another.	3:46	May 24, 2005	Feature	Yes	https://open.spotify.com/track/7MpbKJlnQ7in8coC8TeNEm
Late Registration	Joe Budden - Nobody Loves Me (feat. Stack Bundles) (prod. Kanye West) (Birds & The Bees)	Track 6 from the 2005 mixtape I'm Back. Also track 2 from Stack Bundle's 2019 EP Library of a Rockstar: Chapter 8 - Melo & Lebron.	2:40	Jun 1, 2005	Production	Yes	https://open.spotify.com/track/4QAouBKdb7C2LltbDEb5Ob?si=cc5e19e72f6b4351
Late Registration	Bump J - Pushaman (feat. Kanye West) (prod. Kanye West)	One of 3 singles (the others being 'Move Around' & 'On The Run') released for his shelved debut album 'Nothing To Lose', set for release on September 27th, 2005 via Free-4-All Inc & Atlantic Records. Contains a sample of 'Keep On Pushing', written and performed by Curtis Mayfield.	3:33	Jun 6, 2005	Production	No	https://pillows.su/f/76d20c79b6c9a8878d349ed9aa87cac5
Late Registration	Common - The Corner (Remix) (feat. Scarface, Kanye West, Mos Def & The Last Poets) (prod. Kanye West)	Released as a single on June 14th, 2005. Also track 8 from disc 2 of Scarface's 2006 album My Homies Part 2. Samples the song "You Make The Sunshine" by The Temprees.	4:09	Jun 14, 2005	Feature	Yes	https://open.spotify.com/track/6r9C3Yxdcn7zfiLbzr0WvI?si=0b38bebac04f4521
Late Registration	Diamonds From Sierra Leone (prod. Kanye West, Jon Brion & Devo Springsteen)	Released as a single on June 21st, 2005. Also track 20 from Kanye West's 2005 album Late Registration. Features keyboards from Tom Craskey. Features guitar from Dave Tozer. Features drums from Michel Gondry. Written by Kanye West, D. Harris, J. Barry & D. Black. Mixed by Manny Marroquin. Engineered by Tom Biller, Anthony Kilhoffer & Richard Reitz. Samples the song "Diamonds Are Forever" by Shirley Bassey. Interpolates the songs "I Smoke, I Drank" by Body Head Bangerz & "Ms. Jackson" by OutKast.	3:58	Jun 21, 2005	Single	Yes	https://open.spotify.com/track/4R5bSS8yoCl2czeWLr61aO
Late Registration	Keyshia Cole - I Changed My Mind (prod. Kanye West, Ron Fair & Tal Herzberg)	Track 2 from Keyshia Cole's 2005 album The Way It Is. Written by Keyshia Cole & John Legend. Mixed by Dave "Hard Drive" Pensado. Engineered by Tal Herzberg, Jun Ishizeki & Anthony Kilhoffer. Samples the songs "Get Out of My Life Woman" by Solomon Burke & "The Chronic (Intro)" by Dr. Dre.	3:18	Jun 21, 2005	Production	Yes	https://open.spotify.com/track/4w4RaMGPl2qnjSdPlp1KAE
Late Registration	Leela Jones - It's Alright (prod. Commissioner Gordon & Kanye West)	Track 15 from Leela Jones' 2005 album A Change is Gonna Come. Written by Gordon Williams, Kanye West, Leela Jones, and Renee Neufville. Produced by Comissioner Gordon and Kanye West, with Co-Production from Leela Jones.	4:03	Jun 21, 2005	Production	Yes	https://open.spotify.com/track/4W9WvZBfNBi7tCFpa9deiV?si=2efd6d832e304b13
Late Registration	Leela Jones - Didn't I (prod. Commissioner Gordon & Kanye West)	Track 16 from Leela Jones' 2005 album A Change is Gonna Come. Produced by Comissioner Gordon and Kanye West. Written by Leela Jones and Kanye West.	3:17	Jun 21, 2005	Production	Yes	https://open.spotify.com/track/2ekO5aYYEqy2deY7ergsBL?si=752a95d9565a4e3a
Late Registration	Little Brother - I See Now [V2] (feat. Kanye West & Consequence) (prod. 9th Wonder)	Updated version of "I See Now" that removes the interlude from the beginning. Track 19 from Little Brother's 2005 mixtape The Chittlin' Circuit 1.5 (Deluxe Edition). 	4:19	Jun 21, 2005	Feature	Yes	https://open.spotify.com/track/42Bczh6IIyTYJduQnfS92p?si=ce1cca3347c545da
Late Registration	Diamonds From Sierra Leone (Remix) (feat. JAY-Z) (prod. Kanye West, Jon Brion & Devo Springsteen)	Released as a single on June 30th, 2005. Also track 13 from Kanye West's 2005 album Late Registration. Features keyboards from Tom Craskey. Features guitar from Dave Tozer. Features drums from Michel Gondry. Written by Kanye West, D. Harris, J. Barry & D. Black. Mixed by Manny Marroquin. Engineered by Tom Biller, Anthony Kilhoffer, Richard Reitz & Jarred Robbins. Samples the song "Diamonds Are Forever" by Shirley Bassey. Interpolates the songs "I Smoke, I Drank" by Body Head Bangerz & "Ms. Jackson" by OutKast.	3:53	Jun 30, 2005	Single	Yes	https://open.spotify.com/track/34KUIBsIUiPV7oCIzSdDAU
Late Registration	Gold Digger (feat. Jamie Foxx, Plain Pat & Don C) (prod. Kanye West, Jon Brion & A-Trak)	Released as a single on July 5th, 2005. Also track 4 from Kanye West's 2005 album Late Registration. Written by Kanye West, R. Charles & R. Richards. Mixed by MIKE DEAN. Engineered by Andrew Dawson, Tom Biller, Nate Connelly, Mike Mo, Anthony Kilhoffer, Richard Reitz & Matt Green. Interpolates the song "I've Got a Woman" by Ray Charles.	3:27	Jul 5, 2005	Single	Yes	https://open.spotify.com/track/1PS1QMdUqOal0ai3Gt7sDQ
