Era	Name	Notes (Join the Discord to help fix any issues + help with dead links)	File Date	Leak Date	Full Length	BPM	Available Length	Quality	Link(s)
	Live Stems								
808s & Heartbreak	Love Lockdown (Live at SNL)	Leaked acapella for the SNL performance of "Love Lockdown". Features new parts.				119.6	Full	CD Quality	https://pillows.su/f/8770b931d15bc34de66014f86f073464
	Good Ass Job (Winter Spring Summer Fall)	(11/24/2008) (808s & Heartbreak officially releases) (05/??/2010) (The project shifts into My Beautiful Dark Twisted Fantasy)			As far back as 2003, Kanye had planned a four-album series revolving around going to college, with Good Ass Job concluding the series. The death of his mother derailed this plan, with his fourth album becoming the somber 808s & Heartbreak. People still expected Good Ass Job to release, though, as Kanye's next album as late as early 2010. When the wake of the 2009 VMAs incident happened, it would cause Good Ass Job not to release. The title seems to have changed to MBDTF around May 2010 or atleast not called GAJ anymore. The cover included for this era is the original cover for the single "POWER."				
	Sessions								
Good Ass Job	Ain't No Tellin (ref. ??? & ???) (feat. The WRLDFMS Tony Williams, GLC & ???) (prod. Kanye West, Jeff Bhasker, Andrew Kilhoffer, Plain Pat & 40) (Tell 'Em What To Do, Horn Shout, Ohh Yeah, Ohh Yeah Tellem)	According to the person who shared the snippet for the song, there is a whole session for "Ain't No Tellin". Leaked as part of the GAJ groupbuy. No I.D. is mentioned to have added production in this session, but no files are attached of his production.		Jul 1, 2024	Varied	73.3	OG File	Lossless	https://pillows.su/f/68c81dce4aabaa2571a7cebb2dd39ac9
Good Ass Job	Hard Horn Nightmare (feat. Rick Ross, Big Sean, John Legend, Connie Mitchell & The WRLDFMS Tony Williams) (prod. Kanye West) (Live Fast, Die Young)	Has over 20 versions of "Live Fast Die Young" and 5 versions of "Hard Horn Nightmare".		Jun 5, 2025	Varied	85	OG File	Lossless	https://mega.nz/file/mF9inBwY#Gb9Xhud3ItOtlJO_d1Zx0Pxml2_NqWwJ8OkB2zMpLoQ
Good Ass Job	Throw Money Everywhere (ref. Young Jeezy) (Throw Money Every)	"Throw Money Everywhere" partial session. Snippets shared 9/5/24. Has multiple vocal takes for a short Jeezy reference track and 11 different Pro Tools session files. Session is missing ~51 audio files out of ~148 total. Some elements that are missing are: the vocal take containing the chorus, a handful of other vocal takes, a few of the synths used in the song's instrumental, and other miscellaneous synth and sampler files.	Apr 9, 2009	Sep 16, 2024	Varied	110	Partial	Lossless	https://pillows.su/f/d25c610935d2f466ba6c38c4226f7dc9
	Studio Stems								
Good Ass Job	Eyes Closed [Sample Stem] (Eyez Closed)	OG Filename: Eyes Closed NEW Music only @ 89.32 Sample stems for the song.		Apr 26, 2025	0:21	89.32	OG File	Lossless	https://pillows.su/f/5c5e59ca51ae516baee5e7c299cc11e4
Good Ass Job	Flashing Lights (Remix) [Beat Stems] (prod. No I.D.)	OG Filenames: Eighties Jump Brass & find your love drums loop 95.8672 2 files for the beat, that being the drums and the melody.	Aug 18, 2010	Apr 26, 2025	0:10	 95.8672	OG File	Lossless	https://pillows.su/f/ea37c75b0185abba4b438b28e3e2746d https://pillows.su/f/9782461c54b13240062e54999692cb3f
Good Ass Job	POWER [Strings Stem]	OG Filename: Choppy New Prog Strings BNCE Strings stem meant to be added onto a version of "Power".		Apr 26, 2025	4:40	153	OG File	High Quality	https://pillows.su/f/0474b1fea98a58d61783776e756d8bc8
Good Ass Job	SingSing (Runaway)	According to Garfield (the person who shared the snippets for "SingSing"), they also have the stems for it.				85	Rumored	Not Available	N/A
Good Ass Job	JAY-Z - Hate (feat. Kanye West) (prod. Kanye West) (Hate It)	OG Filename: Hate Leaked right after the "FEAR" groupbuy ended. ProTools session files, however it has no raw recordings, just stems.	Jan 14, 2010	Jan 22, 2024	3:04	120	OG File	Lossless	https://pillows.su/f/bdc0b05463c3c7d4849ea1d0f4a7e977
Good Ass Job	Mr Hudson - Supernova (feat. Kanye West) (prod. Kanye West & Dave McCracken)	Offically released stems of this song. Were lost to time until shared by Batby. Snare stem also refound 01/14/24.			3:13	116	Full	Lossless	https://pillows.su/f/61c2178a0be7b9a66e51642280029402
	Acapellas								
Good Ass Job	Higher (Dark Fantasy)	OG Filename: KW VOX IDEA.01 up 1half 01 Acapella for the presumed earliest version of "Dark Fantasy", has no autotune. Bounced later than it was recorded.	Feb 18, 2010		1:47	78	OG File	CD Quality	https://pillows.su/f/2a638eea2fe37ae5482ffb88f388fd20
Good Ass Job	HypeMeUp	OG Filename: Vox1_02 Raw acapella for Kanye's vocals on "HypeMeUp".	Jan 10, 2010		4:17	73	OG File	Lossless	https://pillows.su/f/149ac79842665e257f719a7b89f60355
Good Ass Job	Mama's Boy (Mama's Boyfriend, My Momma's Boyfriend)	OG Filename: Mamas by vox at 86 Kanye acapella with finished vocals.	May 6, 2010	Apr 26, 2025	3:01	86	OG File	Lossless	https://pillows.su/f/bf8dff02719e3315c14c9f9853e0f3d8
Good Ass Job	Under My Skin (Down Town)	Acapella for solo Ye version of "Under My Skin". Seemingly has some alternate production from the bleed on the vocals.				101	Snippet	Lossless	https://pillows.su/f/93026b3725386237fa23ce2f20bd7936
Good Ass Job	Consequence - Whatever U Want (feat. Kanye West & John Legend)	Official acapella for "Whatever U Want" by Consequence.			2:31	107	Full	High Quality	https://pillows.su/f/de9895869aff81d6fd4cae6a51ae483f
Good Ass Job	DJ Class - I'm The Shit (Remix) (feat. Kanye West)	Official acapella for the remix of "I'm The Shit" by DJ Class.			2:07	128	Full	CD Quality	https://pillows.su/f/65ac0732d9f121c725fa5191a27aef43
Good Ass Job	Drake - Forever [Clean] (feat. Kanye West, Lil Wayne & Eminem)	Official acapella for "Forever" by Drake. Does not include the hook and is censored.			5:58	158	Full	Lossless	https://pillows.su/f/6f122dbf2d9fcc2639ef70abb3629190
Good Ass Job	Drake - Forever [Explicit] (feat. Kanye West, Lil Wayne & Eminem)	Official acapella for "Forever" by Drake. Includes the hook and is explicit.			6:43	158	Full	High Quality	https://pillows.su/f/c18b95e94930c88e2a43760be2b1e958
Good Ass Job	GLC - The Big Screen (feat. Kanye West)	Official acapella for "The Big Screen" by GLC.		Mar 12, 2025	4:10	96.5	Full	CD Quality	https://pillows.su/f/9ad5049479b4b101726a43ebb194e2e8
Good Ass Job	Jamie Foxx - Digital Girl (Remix) (feat. Kanye West & Drake)	Official acapella for the remix of "Digital Girl" by Jamie Foxx.			4:38	107	Full	CD Quality	https://pillows.su/f/46f7dad83f6313046bae3fdadcd0816e
Good Ass Job	Lil Wayne - Lollipop (Remix) (feat. Kanye West & Static Major)	Official acapella for the remix of "Lollipop" by Lil Wayne.			4:21	148	Full	CD Quality	https://pillows.su/f/03f727a520e0298d1f532fef85b5897e
	Live Acapellas								
Good Ass Job	Rick Ross - Maybach Music Part II (feat. Kanye West)	Vocal stem for the Kanye vocals on "Maybach Music Part II" by Rick Ross.			0:46	82	Full	High Quality	https://pillows.su/f/82db3b0ec3ac6234680ab83f6fca7754
	Instrumentals								
Good Ass Job	Armed and Dangerous	OG Filename: Armed and Dangerous TRACK INST Instrumental found in a beat copy of the album. It's unknown if Ye recorded on it, but the seller believes that Ye likely recorded on everything on the instrumental copy.	Apr 5, 2009	Jul 1, 2024	2:27	80	OG File	Lossless	https://pillows.su/f/f0cd4922f53ab87c28438850d07b7cf7
Good Ass Job	Choir Sample	OG Filename: Choir Sample Try2 92.5BPM RUFF INST Instrumental found in a beat copy of the album. It's unknown if Ye recorded on it, but the seller believes that Ye likely recorded on everything on the instrumental copy.	Apr 9, 2009	Jul 1, 2024	3:09	92.5	OG File	Lossless	https://pillows.su/f/ed2780b821e422eedebc88707ff841e2
Good Ass Job	Dance At Night	OG Filename: Dance at Night Horn track RUFF INST Instrumental found in a beat copy of the album. It's unknown if Ye recorded on it, but the seller believes that Ye likely recorded on everything on the instrumental copy. Samples "Jogan Ban Gayi" by Asha Bhosle.	Apr 5, 2009	Jul 1, 2024	3:04	96.3	OG File	Lossless	https://pillows.su/f/e30ff35f5254dbf8e8d0e41f1879480a
Good Ass Job	Give It All Away	OG Filename: Give it all away RUFF INST Instrumental found in a beat copy of the album. It's unknown if Ye recorded on it, but the seller believes that Ye likely recorded on everything on the instrumental copy.	Apr 19, 2010	Jul 1, 2024	3:16	88	OG File	Lossless	https://pillows.su/f/eebcc12c1a08660e7ce2cacdea924905
Good Ass Job	Higher (feat. ???) (prod. No I.D.) (Dark Fantasy)	OG Filename: Higher Ruff INST The January 15th 2010 instrumental for "Higher" found in the GAJ instrumental zip.	Jan 15, 2010	Jul 1, 2024	4:05	88	OG File	Lossless	https://pillows.su/f/f67a3cd31b0d9ac940b9bf8a3a2da5f7
Good Ass Job	Hornz Shuffle Groove	OG Filename: Hornz Shuffle Groove Track INST RUFF Instrumental found in a beat copy of the album.	Apr 15, 2009	Jul 1, 2024	3:21	107	OG File	Lossless	https://pillows.su/f/ff109625c696ad3c3276607aea3640b2
Good Ass Job	HypeMeUp	OG Filename: HypeMeUp RUFF INST The instrumental version on the zip. Slightly shorter than later versions.	Jan 15, 2010	Jul 1, 2024	2:11	73	OG File	Lossless	https://pillows.su/f/bc8a591ed273e36609a905996016be9b
Good Ass Job	HypeMeUp	OG Filename: HypeMEup w VOX REF1.15 Version of "HypeMeUp" that says it has vocals, yet it is just the instrumental. Not the instrumental version on the zip. Was exported 5 minutes after the version below.	Jan 15, 2010	Jul 1, 2024	4:23	73	OG File	Lossless	https://pillows.su/f/947d076195735c33903606482e474a31
Good Ass Job	Lonely	OG Filename: Lonely INST RUFF Instrumental for "Lonely". Found in the album instrumental zip.	May 11, 2009	Jul 1, 2024	3:18	88	OG File	Lossless	https://pillows.su/f/ba4965c712cc29b4665befeea49baf55
Good Ass Job	Make That Money	OG Filename: Make that money sample pitchfix RUFF Instrumental found in a beat copy of the album. It's unknown if Ye recorded on it, but the seller believes that Ye likely recorded on everything on the instrumental copy.	May 16, 2009	Jul 1, 2024	3:14	85	OG File	Lossless	https://pillows.su/f/d3b580ef8e17ce31b1322574315345c0
Good Ass Job	Mama's Boy (Mama's Boyfriend, My Momma's Boyfriend)	OG Filename: Mamas Boy beat @86 Early instrumental.	May 6, 2010	Apr 26, 2025	3:33	86	OG File	Lossless	https://pillows.su/f/6fc6a875e057330456219750255c0c0c
Good Ass Job	Mama's Boy (prod. MIKE DEAN) (Mama's Boyfriend, My Momma's Boyfriend)	OG Filename: mama's boy mike dean 3 inst Mike Dean version 3 instrumental.		Apr 26, 2025	3:01	86	OG File	Lossless	https://pillows.su/f/14dcecdd2ed8e69b1ec3cdeaa7e74262
Good Ass Job	Mama's Boy	OG Filename: beatles chord thing Instrumental for a version of "Mama's Boyfriend". Possibly unused.		Apr 26, 2025	4:28	87	OG File	High Quality	https://pillows.su/f/b637b62fef241e766c235bee4f44028a
Good Ass Job	Loop 8 (Honor Hov, Name Ring)	OG Filename: RUFF 8 Loop 83BPM Loop for the beat "Name Ring"	Jul 14, 2008	Jul 1, 2024	0:23	83	OG File	Lossless	https://pillows.su/f/b943fc901d8719cbbdb8660ad3611020
Good Ass Job	Name Ring (Honor Hov, Loop 8)	OG Filename: Hi Beat5 Name Ring RUFF Instrumental found in a beat copy of the album. "Loop 8" is the same version as this, just in a loop form, and it was made in July 14th, 2008. Meaning, this is most likely a 2008 GAJ beat. According to Garfield, this beat was recorded over and is titled "Honor Hov".	2008	Jul 1, 2024	3:25	83	OG File	Lossless	https://pillows.su/f/a204a606c67d62d7ccc0e0f2c654cb9a
Good Ass Job	Ohh	OG Filename: Ohh Kanye Beat RUFF INST Instrumental found in a beat copy of the album. It's unknown if Ye recorded on it, but the seller believes that Ye likely recorded on everything on the instrumental copy.	Apr 15, 2009	Jul 1, 2024	3:22	109	OG File	Lossless	https://pillows.su/f/5839e970b6c6d8fa3035bf7930efe27c
Good Ass Job	Ohh Yeah Tellem (Tell 'Em What To Do, Horn Shout, Ohh Yeah, Ain't No Tellin)	OG Filename: Ohh Yeah Tellem RUFF & Ohh Yeah Tellem RUFF 73.3 Instrumental found in a beat copy of the album.	Jan 7, 2010	Jul 1, 2024	3:36	73.3	OG File	Lossless	https://pillows.su/f/dbe4af44e1f65e5eaa4854d063040ffe
Good Ass Job	Ohh Yeah Tellem (Tell 'Em What To Do, Horn Shout, Ohh Yeah, Ain't No Tellin)	OG Filename: ohh Yeah Tellem RUFF for Drake 73.3BPM Instrumental bounce that was for Drake, Not in the instrumental zip.	Jan 15, 2010	Jul 1, 2024	6:59	73.3	OG File	Lossless	https://pillows.su/f/2e8af3ad8791418ad7175fc2b6de6203
Good Ass Job	POWER (prod. S1 & Kanye West)	OG Filename: power new prog.3 RUFF work INST 77BPM Early instrumental.	Mar 24, 2010	Apr 26, 2025	5:49	77	OG File	Lossless	https://pillows.su/f/024d2eaeacf6839953e77a0863995d2c
Good Ass Job	POWER (prod. S1 & Kanye West)	OG Filename: power New PROG.3 REDO Slightly different mixing.	Mar 24, 2010	Apr 26, 2025	5:49	77	OG File	Lossless	https://pillows.su/f/7ab13196d4ad83d58132c6c3764ae8da
Good Ass Job	String Pad	OG Filename: String Pad Uptempo RUFF INST Instrumental found in a beat copy of the album. It's unknown if Ye recorded on it, but the seller believes that Ye likely recorded on everything on the instrumental copy.	Apr 9, 2009	Jul 1, 2024	2:39	86	OG File	Lossless	https://pillows.su/f/cde0870eaac3266e080f7515e0c0192a
Good Ass Job	Tellin U Before (All Of The Lights)	OG Filename: Tellin u Before.6 DRUMS RUFF Instrumental found in a beat copy of the album. Just the drums.	Jan 5, 2010	Jul 1, 2024	2:49	142	OG File	Lossless	https://pillows.su/f/5b12ab1c730be7229ac9203151ee1539
Good Ass Job	TellinUBefore (All Of The Lights, Tellin U Before)	OG Filename: TellinUBefore.12 INST RUFF Instrumental found in a beat copy of the album.	Jan 10, 2010	Jul 1, 2024	2:49	142	OG File	Lossless	https://pillows.su/f/63f7ff5338e7d4526d8137fdf9bde78e
Good Ass Job	Throw My Money Every (Throw Money Everywhere)	OG Filename: Throw My Money Every RUFF INST Instrumental for "Throw My Money Every". Found in the album instrumental zip.	Apr 9, 2009	Jul 1, 2024	3:12	110	OG File	Lossless	https://pillows.su/f/aca2bf8e855d24e5f1908a9c23f1fa43
Good Ass Job	??? (Track 8)	OG Filename: Track 08-NORM_01 Beat that leaked July 19th 2025. Left and right parts both provided.	Oct 10, 2009	Jul 19, 2025	3:34	99	OG File	Lossless	https://pillows.su/f/f0558ad466d4f5570970ae1a4892acb1 https://pillows.su/f/fc473c86cc3ff39c46d76813b8b88856
Good Ass Job	Consequence - Whatever U Want	Official instrumental for "Whatever U Want" by Consequence.			2:35	107	Full	CD Quality	https://pillows.su/f/9a2a232bc8b0c4023260724b629600ab
Good Ass Job	DJ Class - I'm The Shit (Remix)	Official instrumental for the remix of "I'm The Shit" by DJ Class.			5:21	128	Full	CD Quality	https://pillows.su/f/eb0e55b2ad594d9f86c030e517fea27d
Good Ass Job	Drake - Find Your Love (prod. Kanye West, No I.D. & Jeff Bhasker)	Official instrumental for "Find Your Love" by Drake.			3:27	96	Full	CD Quality	https://pillows.su/f/c407b57cf30f2e6dfd384777605766de
Good Ass Job	Drake - Forever (prod. Boi-1da)	Official instrumental for "Forever" by Drake.			5:55	158	OG File	Lossless	https://pillows.su/f/7cccf0354dd4695d73d02b4a38e85cb6
Good Ass Job	GLC - The Big Screen	Official instrumental by "The Big Screen" by GLC.		Mar 12, 2025	4:10	96.5	Full	CD Quality	https://pillows.su/f/5a11eb8174b2590470e37dda34accb2c
Good Ass Job	Kid Cudi - Make Her Say (prod. Kanye West) (I Poke Her Face)	Instrumental for "Make Her Say" by Kid Cudi.			3:57	99	Full	High Quality	https://pillows.su/f/724425e62f10620b041bb849222c22ff
Good Ass Job	The Game - Heartbreaker (prod. RZA)	Instrumental for "Heartbreaker". Longer than leaked version as it is the version of the beat given to The Game for his mixtape Purp and Patron.			4:31	74	Full	High Quality	https://pillows.su/f/b3cf62f0f5c446fbb8534d6182baa0b1
	TV Tracks								
Good Ass Job	See Me Again (feat. Bon Iver, The WRLDFMS Tony Williams & Elly Jackson) (Never See Me Again)	OG Filename: seeMeAgain TVRUFF 2.16 89BPM TV track for "See Me Again". Similar to the 2.22 version.	Feb 16, 2010		5:24	89	OG File	CD Quality	https://pillows.su/f/5146a80b94bc59410110bba8d6a4d8fb
Good Ass Job	Drake - Forever (prod. Boi-1da)	TV track for "Forever" by Drake.			5:58	158	OG File	Lossless	https://pillows.su/f/c74dab842dff7eacc7012124912c67e5
	My Beautiful Dark Twisted Fantasy (My Dark Twisted Fantasy)	(05/??/2010) (The project shifts into My Beautiful Dark Twisted Fantasy) (07/28/2010) (Kanye announces the album title is no longer Good Ass Job) (11/22/2010) (My Beautiful Dark Twisted Fantasy officially releases)			Conceived during West's self-imposed exile following the 2009 VMA incident and further influenced by his deteriorating relationship with model Amber Rose, My Beautiful Dark Twisted Fantasy is a genre-bending masterpiece that explores the darker sides of celebrity, fame, and love. With grand production that sounds like the natural evolution of all the albums that came before it, this is seen by many as Kanye's best album, even earning an extremely rare 10/10 rating from Pitchfork.				
	Sessions								
My Beautiful Dark Twisted Fantasy	Runaway (ref. ???) (feat. Kid Cudi, ???, Pusha T, The WRLDFMS Tony Williams & The-Dream) (prod. Kanye West, Jeff Bhasker, MIKE DEAN & Emile)	Sessions for "Runaway" that have "thousands of files and "over 50 OG versions". There are many altenate versions with various dfferent people doing features/references. Snippet leaked May 13th, 2024.		May 31, 2024	Varied	85	Snippet	Lossless	https://pillows.su/f/28833a360adeadf77c1cc7d247ed200c https://pillows.su/f/137ca0d6edc597705629dc8c5f3da876 https://pillows.su/f/4be9785a607fdaf4c5cad50d94d61680
	Studio Stems								
My Beautiful Dark Twisted Fantasy	All Of The Lights (feat. Rihanna, Kid Cudi, John Legend, The WRLDFMS Tony Williams, Alvin Fields, Ken Lewis, Elton John, Alicia Keys, Charlie Wilson, Drake, La Roux, Fergie, Ryan Leslie & The-Dream) (prod. Kanye West, Jeff Bhasker, MIKE DEAN, Ken Lewis, Rosie Danvers & Tommy D.) (Ghetto University)	Seemingly release multitrack stems for "All Of The Lights". Differences are unknown with the short snippet that leaked April 30th, 2024.				142	Snippet	CD Quality	https://pillows.su/f/3ddab93c6986472e7947a2f78a6fc70d
My Beautiful Dark Twisted Fantasy	Lost In The World (feat. Bon Iver, The WRLDFMS Tony Williams, Alvin Fields, Ken Lewis, Alicia Keys, Charlie Wilson, La Roux & Kay Fox) (prod. Kanye West, Jeff Bhasker & Ken Lewis) (Lost, Lost In A World)	OG Filename: LITW Studio stems for an earlier version of "Lost In The World".	Nov 12, 2010	Feb 28, 2023	5:48	117	OG File	Lossless	https://pillows.su/f/29bedf51c79f8a2aa934ed458d06b4b4
My Beautiful Dark Twisted Fantasy	Runaway [BBC Symphony Stem]	OG Filename: RUNAWAY BBC Symphony Orchestra Symphony stem for the orchestral version of "Runaway".			9:08	85	OG File	CD Quality	https://pillows.su/f/a41f89cf510b9e3a1deca925fd49ea23
	Acapellas								
My Beautiful Dark Twisted Fantasy	JAY-Z - Run This Town (feat. Rihanna & Kanye West)	Official acapella for "Run This Town".			4:28	87	Full	CD Quality	Link Needed
My Beautiful Dark Twisted Fantasy	Katy Perry - E.T. (feat. Kanye West)	OG Kanye acapella for "E.T.". has a couple extra unused lines and is uncensored.		Aug 9, 2024	1:05	152	Full	CD Quality	https://pillows.su/f/1650aa2cc5a2008f371c80d1380c0bb3
	Live Acapellas								
My Beautiful Dark Twisted Fantasy	POWER (Live at SNL)	Leaked acapella for the SNL performance of "POWER". Features a completely unique second verse than the release.			3:59	154	Full	CD Quality	https://pillows.su/f/a5e1eeb8e279a8e7e8d030c62503b488
My Beautiful Dark Twisted Fantasy	Runaway (Live at SNL) (feat. Pusha T)	Leaked acapella for the SNL performance of "Runaway". Features new parts.			4:01	85	Full	CD Quality	https://pillows.su/f/7c261223627b7ec3f78fa1cbab975fc9
	Instrumentals								
My Beautiful Dark Twisted Fantasy	All Of The Lights (prod. Kanye West & Jeff Bhasker)	Official instrumental for "All Of The Lights".			5:00	142	Full	High Quality	https://pillows.su/f/1b4fc9a5a5a3dfe6e88702d5188383cd
My Beautiful Dark Twisted Fantasy	Blame Game (prod. Kanye West, DJ Frank E & MIKE DEAN)	Official instrumental for "Blame Game".			7:57	80	Full	CD Quality	https://pillows.su/f/1e7883395b5e923ce958fb4738cd1757
My Beautiful Dark Twisted Fantasy	Chain Heavy (prod. Q-Tip)	Instrumental of "Chain Heavy" included within "record4hype".			3:30	91	Tagged	High Quality	https://pillows.su/f/a5223d3d225c12a75b726ab8926e9f1b
My Beautiful Dark Twisted Fantasy	Christmas In Harlem (prod. Hit-Boy)	Instrumental for "Christmas In Harlem".			3:01	86	Full	High Quality	https://pillows.su/f/9e57b65b06f111cdd8019eff13f265fe
My Beautiful Dark Twisted Fantasy	Devil In A New Dress (feat. Rick Ross) (prod. MIKE DEAN & Bink!)	Instrumental for "Devil In A New Dress". Cuts off early. Has a Rick Ross adlibs at 4:02.			4:32	83	Full	Lossless	https://pillows.su/f/edbb044b0a440dd829fb6868141afb61
My Beautiful Dark Twisted Fantasy	Lost In The World (feat. Justin Vernon) (prod. Kanye West & Jeff Bhasker)	OG Filename: LITW Instermental Instrumental for "Lost In The World". Has more vocoder and different drums in places. Was bounced on 26th October, 2010.	Oct 26, 2010	Feb 28, 2023	5:59	117	OG File	Lossless	https://pillows.su/f/895bd90a501787c37eee579761dc17fe
My Beautiful Dark Twisted Fantasy	Monster (feat. Bon Iver & Charlie Wilson) (prod. Kanye West, MIKE DEAN & Plain Pat)	Official instrumental of "Monster" with less compression, more effects and bass. Also includes vocals from Justin Vernon and Charlie Wilson.			6:26	125	Full	CD Quality	https://pillows.su/f/e8511cbdd8ea8b0ccd660bef9679db57
My Beautiful Dark Twisted Fantasy	POWER (prod. Kanye West, Emile Haynie, Jeff Bhasker & MIKE DEAN)	Official instrumental for "POWER".			4:53	154	Full	Lossless	https://pillows.su/f/5885f1703faa89a115c867441fe25976
My Beautiful Dark Twisted Fantasy	Runaway (prod. S1, Kanye West, Jeff Bhasker & MIKE DEAN)	Official instrumental for "Runaway". Features very minor beat differences.			9:11	85	Full	CD Quality	https://pillows.su/f/b7c089402b3d3f20241eafea39dc077a
My Beautiful Dark Twisted Fantasy	Runaway (prod. S1, Kanye West, Jeff Bhasker & MIKE DEAN)	OG Filename: RUNAWAY Master Alternate mix version of "Runaway". Is meant to be combined with the BBC symphony stem.			9:08	85	OG File	Lossless	https://pillows.su/f/44c81b9acc0fef90ac35b39909dff56b
My Beautiful Dark Twisted Fantasy	JAY-Z - Run This Town	Official instrumental for "Run This Town".			4:34	87	Full	CD Quality	https://pillows.su/f/5e1ca5f1f9ff61eb9dee8e44a9094357
My Beautiful Dark Twisted Fantasy	Twista - Hustlaz (prod. Kanye West)	Instrumental for Twista's track "Hustlaz" produced by Kanye.			4:04	129	Full	CD Quality	https://pillows.su/f/fd3f16f02a2704ed5a2f6e507f805d33
	Watch The Throne (Collaboration with JAY-Z as The Throne)	(08/27/2010) (Kanye announces a "joint-EP" with JAY-Z) (11/22/2010) (My Beautiful Dark Twisted Fantasy officially releases) (08/08/2011) (Watch The Throne officially releases) (08/12/2011) (Watch The Throne (Deluxe) officially releases)			Considered one of the most legendary collab albums of all time, Watch The Throne puts together two of the most legendary figures in music history for a full studio album. Kanye teams up with his big brother, JAY-Z, for an album, focused primarily on luxury, black excellence, and the American dream. The album's production also reflects that, and having been recorded by two future billionaires primarily in New York City's Tribeca Grand Hotel, how could it not?				
	Sessions								
Watch The Throne	Not Enough Time (prod. Hit-Boy) (Whole Lifetime)	OG Filename: Not EnoughTime-Hitboy1729 Full session of "Not Enough Time". Comes with bounced instrumental and Kanye's vocal takes.	Jan 29, 2011	Oct 14, 2022	2:42	142	OG File	Lossless	https://pillows.su/f/89e268c86c97c0792312177347aaadbf https://mega.nz/file/AKYxzLLb#l7_2Dv0jUeC2KBHUCqTxy8ywHw4QuqQxtNju2zBgMsY
	Studio Stems								
Watch The Throne	Niggas in Paris (prod. Hit-Boy, Kanye West, MIKE DEAN & Anthony Killhoffer)	Instrumental + acapella for this leaked way before randomly on YouTube. Has 22 tracks.		Feb 20, 2023	3:42	140	OG File	Lossless	https://pillows.su/f/d836012b9b000a1008b7a2a38bc9e50d
Watch The Throne	Not The Same (feat. Shire) (prod. Honorable C.N.O.T.E.) (Black Bruce Wayne, We Are Not The Same)	Stems for "Not The Same", does not have the Kanye acapella. Contains 2 versions.			4:20	81	OG File	Lossless	https://pillows.su/f/1d72a96d2fee2154e7b9c1494eb0b8db
Watch The Throne	Otis (prod. Kanye West)	Leaked late April 2020. Lossless version is was lost for a long time until it was re-found by deka.			3:03	95	Full	Lossless	https://pillows.su/f/4c8fb1dab029974b3adc54f11f9762d0
	Acapellas								
Watch The Throne	Beyoncé - Party (feat. André 3000, Kanye West & Consequence)	Official acapella for "Party" by Beyoncé.			4:04	161	Full	CD Quality	https://pillows.su/f/db6a37d78335670c2b089dd559c088b7
Watch The Throne	Lloyd Banks - Start It Up (feat. Ryan Leslie, Kanye West, Swizz Beatz & Fabolous)	Acapella for "Start It Up" by Lloyd Banks.			5:42	81	Full	High Quality	https://pillows.su/f/b3fe7b1bc54382bdd4245c9254eb1240
	Instrumentals								
Watch The Throne	Dark Fantasy (Coachella Intro) (feat. Bon Iver, Amber Rose & Teyana Taylor) (prod. RZA, Kanye West, No I.D., Jeff Bhasker & MIKE DEAN)	Instrumental for "Dark Fantasy" with a 2:35 Coachella intro attached on.	Apr 16, 2011	Feb 28, 2023	6:06	88	Full	Lossless	https://pillows.su/f/003648f312c858770b7eb0ac4c3d944c
Watch The Throne	Ever, Ever (prod. Kanye West)	Instrumental for a WTT-era demo that went undetected when it originally leaked, before it's John Legend reference track would later leak in July 2025.	Feb 3, 2011	Sep 17, 2023	3:54	76	OG File	Lossless	https://pillows.su/f/e33e60e7f2fbdc0ea90e627bb5615ca1
Watch The Throne	H·A·M (prod. Kanye West & Lex Luger)	OG Filename: H.A.M Earlier instrumental found inside of the mass Yeezus leak folder. Longer than release and has no choir, piano or chello.	Dec 22, 2010	Apr 26, 2025	5:15	140	OG File	Lossless	https://pillows.su/f/5d80ed8d44d78e569415e3bddc13e937
Watch The Throne	Living So Italian (prod. Karlyle)	Instrumental posted in August 2018 by producer Karlyle. No vocal snippets. Was also given to Lil B for his song "New York Subway".			2:49	129	Full	CD Quality	https://pillows.su/f/2361c14989d04347ee9d140ceb23f3da
Watch The Throne	No Church in the Wild (prod. 88-Keys)	OG Filename: ok scope it out & Track 05 OG beat for "No Church In The Wild". Is just a loop.		Dec 15, 2024	3:31	93	OG File	CD Quality	https://pillows.su/f/755fd54c1262fafe0babadc2de40e34d
Watch The Throne	No Church in the Wild (prod. 88-Keys, Kanye West, MIKE DEAN & Om'Mas Keith)	Official instrumental for "No Church In The Wild".			4:32	93	Full	High Quality	https://pillows.su/f/c14375991ac336ce9e73d94cf21a746d
Watch The Throne	Runnin Through My Dreams	OG Filename: RunninThrough My Dreams  Instrumental Official instrumental for "Runnin Through My Dreams".	Jan 29, 2011		5:22	79	OG File	Lossless	https://pillows.su/f/ec333e9399d1beba707859967671805a
