Era	Name	Notes (Join The Discord If We Missed Anything)	Copy Length	File Date	Available Length	Quality	Link(s)
Donda 2	2022 GOOD Fridays	OG Filename: GF Mixes from Mike Dean In April of 2022, Kanye West planned to do another series of GOOD Fridays single releases. Songs considered for the release were "True Love," "530," "We Did It Kid" and "Pablo," all mixed by MIKE DEAN.	11:12	Apr 11, 2022	OG File	CD Quality	https://pillows.su/f/dbadb069730220294297fd138b1968db
	WAR (Collaboration with James Blake & No I.D.)	(04/??/2022) (The project is conceived) (??/??/2023) (The project is scrapped)			A collaborative project between Ye, James Blake and No I.D. Sessions for the project began around April/May 2022. On his third Drink Champs interview, Ye referred to these sessions as work for "their album". Three songs from the project were played at a party featured on Naomi Campbell's Instagram, with the song "Always" being previewed in full at YZY Season 9 shortly thereafter. The project was presumably scrapped in the wake of Ye's numerous antisemitic comments. However, insiders have stated the project is still being worked on, and was worked on in 2023.		
WAR	WAR	According to dondasvault, there is "a copy of roughly 10 tracks + stems, freestyles and refs". This album copy apparently has "several finished songs", however info from the seller is inconsistent.			Rumored	Not Available	https://ibb.co/BnS1nnh https://ibb.co/m6XN7nG
	VULTURES 1 (Collaboration with Ty Dolla $ign as ¥$) (Vultures)	(10/28/2023) (The name of the project is changed from BBPB to VULTURES 1) (02/10/2024) (VULTURES 1 officially releases)			After the album's name change from Bad Bitch Playbook Vol. 1 to VULTURES 1, four listening parties were scheduled between December 12, 2023, and February 9, 2024. In 2024, Ye announced that VULTURES would be a trilogy, with the first installment dropping on February 9, followed by the second and third albums in March and April. VULTURES 1 would end up being released on February 10, the day after the final listening party.		
VULTURES 1	Vultures Vol. 1	Early version of Vultures. Leaked 7/31/24. The files fade out because it's the OG iTunes uploads that were placeholders. "Unlock" ("Talking") and "Drunk" ("Forever Rollin'") are just incorrent names of songs.	39:25	Dec 15, 2023	OG File	Lossless	https://pillows.su/f/7bb922989576ea68e7b29f319daafaaf
VULTURES 1	VULTURES 1	OG Filename: Vultures Mastering upload Revised A VULTURES 1 copy with alternate mixes compared to released. Leaked 10/17/24. Has file dates ranging from February 8th to February 12th.	56:00	Feb 12, 2024	OG File	Lossless	https://pillows.su/f/218ad166342e8cbdbfc0dce5c4ce2d3b
VULTURES 1	VULTURES 1	OG Filename: New Masters An unreleased VULTURES 1 copy, which has updated mixes. Leaked 10/17/24. Has new mixes for: "BACK TO ME", "BEG FORGIVENESS", "CARNIVAL", "HOODRAT", "KING" & "PAID". Has file dates ranging from February 12th to March 3rd.	34:42	Mar 3, 2024	OG File	Lossless	https://pillows.su/f/2ddc4d578d02c678ecf1a3ca06688d52
	VULTURES 2 (Collaboration with Ty Dolla $ign as ¥$)	(02/10/2024) (VULTURES 1 officially releases) (08/03/2024) (VULTURES 2 officially releases) (11/10/2024) (VULTURES 2 receives its last update)			VULTURES 2 was announced alongside 2 other volumes of VULTURES, and was meant to release on March 8th, 2024, and then May 3rd, 2024. This album would've became the first release exclusive to the YZYAPP. The cover shows Ty Dolla $ign holding a portrait of his brother Big TC, who is currently in prison. After the album failed to drop on May 3rd, 2024, the direction of the project completely shifted, and was to be censored. The album failed to drop August 2nd and then dropped August 3rd with questionable mixing/songs.		
VULTURES 2	VULTURES 2	Phoenix LP copy for VULTURES 2. Was missing track 4, which is "Pay Per View". Leaked 10/21/24. "Pay Per View" later leaked 11/03/24.	23:22	Mar 10, 2024	OG File	Lossless	https://pillows.su/f/736944f30f968451097710cd94892623
VULTURES 2	VULTURES 2	Wes Singerman & taydex Copy of VULTURES 2.			Confirmed	Not Available	
VULTURES 2	VULTURES 2 [Release V1]	Release day one copy of VULTURES 2. Terrible excuse for an album.	51:13	Aug 3, 2024	Full	Lossless	https://pillows.su/f/9a50e801b9811c67eeb6e64b9f0bc990
VULTURES 2	VULTURES 2 [Release V1.1]	Has some mixing changes to a couple songs and a name change for "MAYBE" to now be "FOREVER", it is also shorter. "SKY CITY" also has a new mix and less AI isolated drums / Ty vocals. "FRIED" & "FIELD TRIP" now also have new mixes. Full changelog here.	50:26	Aug 4, 2024	Full	Lossless	https://pillows.su/f/1b872976de1807b1efa5ea832ff858a9
VULTURES 2	VULTURES 2 [Release V1.2]	"530" now is CDQ and has a new mix with chimpunk vocals on the beatswitch. "RIVER" now also has the cash sound effect removed, Pierre drums again at Thug's part and a new mix. "FRIED" also has new unmixed adlibs. "FIELD TRIP" has a new mix and so does "DEAD". "SKY CITY" also have new AI vocals mixed better with better reverb and delay. Full changelog here.	50:25	Aug 5, 2024	Full	Lossless	https://pillows.su/f/c52fbf12c698d0b7375ea9f37232640c
VULTURES 2	VULTURES 2 [Release V1.3]	Has changes to "DEAD" and "FRIED".	50:25	Aug 5, 2024	Full	Lossless	https://pillows.su/f/ad77a706571fe1a0af3cd25f423883a0
VULTURES 2	VULTURES 2 [Release V1.4]	Changes "MY SOUL" and "FRIED". Full changelog here.	50:19	Aug 6, 2024	Full	Lossless	https://pillows.su/f/38b486dc7c1457628c74a89b50c14aec
VULTURES 2	VULTURES 2 [Release V1.5]	"MY SOUL" has a rearranged order of verses, vocals are no longer panned to the left and production is different on outro.	50:19	Aug 6, 2024	Full	Lossless	https://pillows.su/f/17f2aa6158a0bf25e06721a511eb06f7
VULTURES 2	VULTURES 2 [Release V1.6]	Part of the VULTURES 2 DIGITAL DELUXE 1. Adds "TAKE OFF YOUR DRESS" as Track 17.	53:45	Aug 7, 2024	Full	Lossless	https://pillows.su/f/0fab4228fa5de340dd11af8cf05a19aa
VULTURES 2	VULTURES 2 [Release V1.7]	Clean version with mix updates for every song apart from "BOMB" and a new tracklist order. Also removes "HUSBAND" and "ISABELLA" off of "LIFESTYLE".	48:44	Aug 8, 2024	Full	Lossless	https://pillows.su/f/15009c62f240f9ff6bdc04a754d12f6a
VULTURES 2	VULTURES 2 [Release V1.8.1]	Part of the VULTURES 2 DIGITAL DELUXE 2. Adds "BELIEVER" as Track 17.	53:32	Aug 8, 2024	Full	Lossless	https://pillows.su/f/6e688041cbced2b14c7129da5f2c3c93
VULTURES 2	VULTURES 2 [Release V1.8.2]	Part of the VULTURES 2 DIGITAL DELUXE 3. Adds "DRUNK" as Track 17.	53:29	Aug 8, 2024	Full	Lossless	https://pillows.su/f/152b63e7b3816a356e522beecfc651a1
VULTURES 2	VULTURES 2 [Release V1.8.3]	Part of the VULTURES 2 DIGITAL DELUXE 4. Adds "GUN TO MY HEAD" as Track 17.	52:35	Aug 8, 2024	Full	Lossless	https://pillows.su/f/b5a3315dfffc1507fa9f7b7d0f6d24e9
VULTURES 2	VULTURES 2 [Release V1.8.4]	Part of the VULTURES 2 DIGITAL DELUXE 5. Adds "CAN U BE" as Track 17.	53:46	Aug 9, 2024	Full	Lossless	https://pillows.su/f/a5c0242d921caa420c0b3ece4d827eae
VULTURES 2	VULTURES 2 [Release V1.9]	Part of the VULTURES 2 DIGITAL DELUXE 5. Adds an updated "CAN U BE" with an updated mix, alternate Ty$ lyrics, and new AI Kanye vocals that replace most of the Ty$ near the end of the song. Track 17.	53:46	Aug 9, 2024	Full	Lossless	https://pillows.su/f/a3e784a1bbfc1e3067a035b73c8f6c55
VULTURES 2	VULTURES 2 [Release V1.10]	Tracklist updated to match V1.7, however still has the old versions without the newest mixes. "LIFESTYLE" is still unfixed and has "HUSBAND" and "ISABELLA".	50:07	Aug 9, 2024	Full	Lossless	https://pillows.su/f/5740c4cbbc347fe1b05b1f8548f2dd4c
VULTURES 2	VULTURES 2 [Release V1.11]	Version with all the songs being mixed by Irko and has the fixes from V1.7. "FOREVER" also now has AI Kanye vocals.	49:49	Aug 16, 2024	Full	Lossless	https://pillows.su/f/35756e900b8853c5ca3d6f9e01cd91e3
VULTURES 2	VULTURES 2 [Release V1.12]	YouTube Music version of the Deluxe. "RIVER" and "MY SOUL" are shorter, and "FIELD TRIP" has more on time Carti vocals. Also has some of the deluxe tracks.	58:11	Oct 16, 2024	Full	CD Quality	https://pillows.su/f/869a121b08228e605e845e2705cd888c
VULTURES 2	VULTURES 2 [Release V2.0]	This is the current version on streaming, for both clean and explicit.  "TIME MOVING SLOW" - Cruza drums removed "FIELD TRIP" - Playboi Carti verse is now on beat "530" - Mumble replaced with an AI verse and Ty punch-ins. "BOMB" - Yuno Miles feature added "RIVER" - Outro shortened "MY SOUL" - Slight mix changes  [Huge shoutouts to ben3759 and son! for helping with all these archived versions]	49:02	Nov 11, 2024	Full	Lossless	https://open.spotify.com/album/5RV2TNyjylqWJNxQyHBTeJ?si=CtVZjxcTTlO6SnRDkGAvmg
	BULLY	(11/??/2023) (YEBU is shelved in favor of Vultures) (06/15/2025) (BULLY misses its intended release date of North's birthday) (Ongoing)			On September 3rd, 2024, the CEO of Channel Candy, Ye's new touring company, confirmed that work on a new solo Ye album had began after the South Korea Vultures listening experience. On September 28th, 2024, on the second Haikou listening event, Ye confirmed that the album name is Bully, which references the movie with the same name that he posted on his Instagram story a few days prior to the event. On January 2nd, 2025, Ye announced the album would have AI on it after months of speculation, and that it could help AI become used more in music. After the release of Bully V1, Ye confirms his intention to re-record the AI on Bully, and stated it was being mixed.		
BULLY	BULLY	October copy of the album. Has fewer AI vocals.	20:25	Oct 18, 2024	OG File	CD Quality	https://pillows.su/f/dbe0a5c3b9e9cc88d419e3a634bacd3e
BULLY	BULLY	November copy of the album.	21:47	Nov 12, 2024	Full	CD Quality	https://pillows.su/f/7c7dc3b681d278723b96b26087527fea
BULLY	BULLY	December copy of the album.	29:28	Dec 23, 2024	Full	CD Quality	https://pillows.su/f/45c4288534f869cd3426dc639f663a9c
BULLY	BULLY	Copy intended to be released on streaming July 25th, 2025.			OG File	Lossless	https://pixeldrain.com/u/7hfuDQBA
	CUCK (CUKKK, WW3)	(03/06/2025) (Ye announces that the album has a new "antisemitic sound") (05/18/2025) (CUCK leaks in full) (05/21/2025) (Ye posts "ALIVE" on his Instagram then on DSPs) (06/22/2025) (Ye announces the name change to "IN A PERFECT WORLD")			On March 6th, 2025, Ye tweeted, "this next album got that antisemitic sound" and "my new sound called antisemitic". This would mark a shift in Ye's soundscape, as his antisemitic ideas had been mostly contained to his Twitter at that time, besides a few one-off remarks about Jews on the VULTURES albums. On March 16th, 2025, Ye would tweet an image of a red swastika against a black background, declaring it as a "NEW ALBUM COVER". On April 2nd. 2025, DJ Akademiks would post a series of Tweets that eventually led to the announcement of a new album titled WW3, separating this project from BULLY.  		
CUCK	CUCK V2	iTunes tracklist Ye posted to Twitter April 28th, 2025.		Apr 2025	Confirmed	Not Available	https://ibb.co/Dfzc7qN2
CUCK	CUCK	Album copy for the blind groupbuy version of CUCK. According to the seller, the copy is from about 2 weeks ago (as of May 19th, 2025).	30:12	May 2025	Full	CD Quality	https://pillows.su/f/47fd7a5c0ef2a1e39ce8aa751ab72c90
